,id,rank,name,symbol,category,tokenRole,totalTokensForSale,endDate,type,tokensForSale,startDate,ieoPlatformExchange,ICO_price,intended_raise,hardCap,softCap,actual_raised,platform,date_1,price_1,sale_1,cumulative_realized_ROI_1,date_2,price_2,sale_2,cumulative_realized_ROI_2,date_3,price_3,sale_3,cumulative_realized_ROI_3,date_4,price_4,sale_4,cumulative_realized_ROI_4,date_5,price_5,sale_5,cumulative_realized_ROI_5,date_6,price_6,sale_6,cumulative_realized_ROI_6
19,2,53.0,EOS,EOS,Blockchain infrastructure,,,2018-06-26,ICO,0,2017-06-26,,0.99,4196874404.0,,,,,2019-12-06 00:00:00+00:00,2.68048479,0.5009155951312501,0.5059753486174243,2020-01-05 00:00:00+00:00,2.64811831,0.5167968389359375,1.0279923576436236,2020-02-04 00:00:00+00:00,4.19835793,0.6891371298121841,1.724090468565022,2020-03-05 00:00:00+00:00,3.59136867,0.5790226893451517,2.3089618719439633,2020-04-04 00:00:00+00:00,2.33373945,0.37479207300855577,2.6875397234677565,2020-05-04 00:00:00+00:00,2.85508842,0.37698043660437763,3.0683280432701583
0,7,8.0,Cardano,ADA,Blockchain infrastructure,,,2018-01-01,ICO,0,,,0.02,,,,,,2019-12-06 00:00:00+00:00,0.03751637,0.0070108716437500005,0.35054358218750004,2020-01-05 00:00:00+00:00,0.03435642,0.006704870090625,0.68578708671875,2020-02-04 00:00:00+00:00,0.05677491,0.009319286057810005,1.1517513896092502,2020-03-05 00:00:00+00:00,0.04899101,0.007898633911047406,1.5466830851616205,2020-04-04 00:00:00+00:00,0.03230014,0.005187312760671108,1.806048723195176,2020-05-04 00:00:00+00:00,0.04925665,0.006503754241933081,2.13123643529183
3,13,15.0,TRON,TRX,Blockchain infrastructure,,,2017-09-02,ICO,0,2017-08-31,,0.0019,70000000.0,70000000.0,,,,2019-12-06 00:00:00+00:00,0.01446961,0.0027040083687500005,1.4231622993421056,2020-01-05 00:00:00+00:00,0.01343871,0.0026226482484375,2.8035034827302634,2020-02-04 00:00:00+00:00,0.01917514,0.003147492701592216,4.46007858883143,2020-03-05 00:00:00+00:00,0.01776218,0.00286372861637529,5.967304176397372,2020-04-04 00:00:00+00:00,0.01192834,0.0019156582694571482,6.9755453708485025,2020-05-04 00:00:00+00:00,0.01608756,0.0021241707788157123,8.093529991277824
49,21,114.0,OMG Network,OMG,Network,,,2017-06-23,ICO,0,2017-06-23,,0.35,25000000.0,25000000.0,,,,2019-12-06 00:00:00+00:00,0.73621465,0.13758011271875,0.39308603633928574,2020-01-05 00:00:00+00:00,0.62815586,0.122588542053125,0.7433390136339286,2020-02-04 00:00:00+00:00,0.973217,0.1597481637456348,1.1997623386214566,2020-03-05 00:00:00+00:00,0.89729013,0.14466666943314976,1.6130956798590275,2020-04-04 00:00:00+00:00,0.55087332,0.0884687249760917,1.865863465505004,2020-05-04 00:00:00+00:00,0.73180906,0.09662667433250252,2.1419396778835824
60,24,146.0,ICON,ICX,Blockchain infrastructure,,,2017-09-20,ICO,0,2017-09-20,,0.11,42750000.0,42800000.0,,,,2019-12-06 00:00:00+00:00,0.1299301,0.0242806874375,0.22073352215909092,2020-01-05 00:00:00+00:00,0.11365997,0.0221814535203125,0.4223830996164773,2020-02-04 00:00:00+00:00,0.36565433,0.06002012684030426,0.968020616346516,2020-03-05 00:00:00+00:00,0.32549915,0.052478987965488076,1.4451023251236803,2020-04-04 00:00:00+00:00,0.24237184,0.03892424424350285,1.7989590909737063,2020-05-04 00:00:00+00:00,0.27466872,0.036266734599822145,2.1286566782448166
1729,25,,DigixDAO,DGD,Real Assets,,,2016-04-30,ICO,0,,,3.23,,,,,,2022-02-19 00:00:00+00:00,531.3425882,99.29464616987501,30.741376523181117,2022-03-21 00:00:00+00:00,530.64840076,103.55935196081874,62.803095396499614,2022-04-20 00:00:00+00:00,563.425436330762,92.4831552073405,91.43565118824591,,,,,,,,,,,,
89,33,226.0,Status,SNT,Social Network,,,2017-06-20,ICO,0,2017-06-20,,0.037,107664907.0,90000000.0,,,,2019-12-06 00:00:00+00:00,0.01065268,0.001990719575,0.05380323175675676,2020-01-05 00:00:00+00:00,0.00894189,0.0017450657203124998,0.10096717014358109,2020-02-04 00:00:00+00:00,0.01376899,0.002260103213499156,0.16205104077869342,2020-03-05 00:00:00+00:00,0.01611251,0.0025977586066931553,0.23226073285148136,2020-04-04 00:00:00+00:00,0.01756361,0.0028206669778041422,0.30849497549483657,2020-05-04 00:00:00+00:00,0.02054728,0.0027130237127410564,0.3818199407040543
439,35,1037.0,Waltonchain,WTC,IOT,,,2017-07-25,ICO,0,2017-07-03,,0.5,,,,,,2022-02-19 00:00:00+00:00,0.55767553,0.10421561466875001,0.20843122933750002,2022-03-21 00:00:00+00:00,0.46648119,0.0910367197359375,0.390504668809375,2022-04-20 00:00:00+00:00,0.622486227404,0.10217765594388163,0.5948599806971383,,,,,,,,,,,,
35,36,85.0,Waves,WAVES,Blockchain infrastructure,,,2018-05-31,ICO,0,,,0.188,,,,,,2019-12-06 00:00:00+00:00,0.56058627,0.10475955920625002,0.5572316979055852,2020-01-05 00:00:00+00:00,0.94517838,0.184457468221875,1.5383884437666226,2020-02-04 00:00:00+00:00,0.98405388,0.1615269773922643,2.3975744937254753,2020-03-05 00:00:00+00:00,1.19850789,0.19323086138889303,3.4253982245174592,2020-04-04 00:00:00+00:00,0.9625209,0.154578182849444,4.247622601376204,2020-05-04 00:00:00+00:00,1.0673311,0.14092836539172074,4.9972415662257825
207,40,502.0,Aeternity,AE,Blockchain infrastructure,,,2017-06-19,ICO,0,2017-05-29,,0.284,,,,,,2022-02-19 00:00:00+00:00,0.09966567,0.01862502208125,0.06558106366637324,2022-03-21 00:00:00+00:00,0.10032156,0.019578379443750002,0.13451901945422537,2022-04-20 00:00:00+00:00,0.103008222535,0.016908227456639134,0.19405503162548995,,,,,,,,,,,,
54,42,131.0,0x Protocol,ZRX,Exchange token,,,2017-08-16,ICO,0,2017-08-12,,0.048,24000000.0,24000000.0,,,,2019-12-06 00:00:00+00:00,0.23118912,0.0432034668,0.900072225,2020-01-05 00:00:00+00:00,0.18719176,0.0365316419125,1.6611480981770834,2020-02-04 00:00:00+00:00,0.23627285,0.03878287569005454,2.4691246750532194,2020-03-05 00:00:00+00:00,0.26234354,0.04229664955648437,3.350304874146644,2020-04-04 00:00:00+00:00,0.1555427,0.02497972555348794,3.8707158231776426,2020-05-04 00:00:00+00:00,0.20741802,0.027387080270955506,4.441279995489216
147,43,361.0,Electroneum,ETN,Currency,,,2017-10-23,ICO,0,2017-09-14,,0.01,39934610.0,40000000.0,,,,2022-02-19 00:00:00+00:00,0.00688344,0.00128634285,0.12863428500000001,2022-03-21 00:00:00+00:00,0.00589225,0.0011499094140625,0.24362522640625,2022-04-20 00:00:00+00:00,0.005484790396,0.000900297872201876,0.3336550136264376,,,,,,,,,,,,
168,44,408.0,Augur,REP,Predictions,,,2015-10-01,ICO,0,,,0.6,,,,,,2022-02-19 00:00:00+00:00,14.24405046,2.6618569297125,4.4364282161875,2022-03-21 00:00:00+00:00,13.97077984,2.72648500315,8.980569888104169,2022-04-20 00:00:00+00:00,13.985208031471,2.2955942021442253,12.80656022501121,,,,,,,,,,,,
344,52,825.0,Dragonchain,DRGN,Blockchain Service,,,2017-11-03,ICO,0,2017-10-02,,0.0663,13192840.0,,,,,2022-02-19 00:00:00+00:00,0.06196434,0.0115795860375,0.17465438970588237,2022-03-21 00:00:00+00:00,0.04911413,0.0095849294328125,0.3192234610906863,2022-04-20 00:00:00+00:00,0.042417134131,0.006962536914973272,0.42423910083387295,,,,,,,,,,,,
