,Unnamed: 0,id,rank,slug,name,symbol,category,rounds,tokenRole,totalTokensForSale,startDate,endDate,type,tokensForSale,values,ieoPlatformExchange,USD,ICO_price,raise,hardCap,date_1,price_1,sale_1,cumulative_realized_ROI_1,date_2,price_2,sale_2,cumulative_realized_ROI_2,date_3,price_3,sale_3,cumulative_realized_ROI_3,date_4,price_4,sale_4,cumulative_realized_ROI_4,date_5,price_5,sale_5,cumulative_realized_ROI_5,date_6,price_6,sale_6,cumulative_realized_ROI_6
25,25,2,53,eos,EOS,EOS,Blockchain infrastructure,"{'startDate': '2017-06-26', 'endDate': '2018-06-26', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.99, 'raise': 4196874404}, 'BTC': {'price': 0.000159543739775508}, 'ETH': {'price': 0.00326797}}}",,,2017-06-26,2018-06-26,ICO,0,"{'USD': {'price': 0.99, 'raise': 4196874404}, 'BTC': {'price': 0.000159543739775508}, 'ETH': {'price': 0.00326797}}",,"{'price': 0.99, 'raise': 4196874404}",0.99,4196874404.0,,2019-12-06 00:00:00+00:00,2.68048479,0.5009155951312501,0.5059753486174243,2020-01-05 00:00:00+00:00,2.64811831,0.5167968389359375,1.0279923576436236,2020-02-04 00:00:00+00:00,4.19835793,0.6891371298121841,1.724090468565022,2020-03-05 00:00:00+00:00,3.59136867,0.5790226893451517,2.3089618719439633,2020-04-04 00:00:00+00:00,2.33373945,0.37479207300855577,2.6875397234677565,2020-05-04 00:00:00+00:00,2.85508842,0.37698043660437763,3.0683280432701583
2,2,7,9,cardano,Cardano,ADA,Blockchain infrastructure,"{'endDate': '2018-01-01', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.02}}}",,,,2018-01-01,ICO,0,{'USD': {'price': 0.02}},,{'price': 0.02},0.02,,,2019-12-06 00:00:00+00:00,0.03751637,0.0070108716437500005,0.35054358218750004,2020-01-05 00:00:00+00:00,0.03435642,0.006704870090625,0.68578708671875,2020-02-04 00:00:00+00:00,0.05677491,0.009319286057810005,1.1517513896092502,2020-03-05 00:00:00+00:00,0.04899101,0.007898633911047406,1.5466830851616205,2020-04-04 00:00:00+00:00,0.03230014,0.005187312760671108,1.806048723195176,2020-05-04 00:00:00+00:00,0.04925665,0.006503754241933081,2.13123643529183
8,8,13,25,tron,TRON,TRX,Blockchain infrastructure,"{'startDate': '2017-08-31', 'endDate': '2017-09-02', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0019, 'hardCap': 70000000, 'raise': 70000000}, 'BTC': {'price': 3.8e-07}, 'ETH': {'price': 4.8127e-06}}}",,,2017-08-31,2017-09-02,ICO,0,"{'USD': {'price': 0.0019, 'hardCap': 70000000, 'raise': 70000000}, 'BTC': {'price': 3.8e-07}, 'ETH': {'price': 4.8127e-06}}",,"{'price': 0.0019, 'hardCap': 70000000, 'raise': 70000000}",0.0019,70000000.0,70000000.0,2019-12-06 00:00:00+00:00,0.01446961,0.0027040083687500005,1.4231622993421056,2020-01-05 00:00:00+00:00,0.01343871,0.0026226482484375,2.8035034827302634,2020-02-04 00:00:00+00:00,0.01917514,0.003147492701592216,4.46007858883143,2020-03-05 00:00:00+00:00,0.01776218,0.00286372861637529,5.967304176397372,2020-04-04 00:00:00+00:00,0.01192834,0.0019156582694571482,6.9755453708485025,2020-05-04 00:00:00+00:00,0.01608756,0.0021241707788157123,8.093529991277824
50,50,21,115,omisego,OMG Network,OMG,Network,"{'startDate': '2017-06-23', 'endDate': '2017-06-23', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.35, 'hardCap': 25000000, 'raise': 25000000}, 'ETH': {'price': 0.001}}}",,,2017-06-23,2017-06-23,ICO,0,"{'USD': {'price': 0.35, 'hardCap': 25000000, 'raise': 25000000}, 'ETH': {'price': 0.001}}",,"{'price': 0.35, 'hardCap': 25000000, 'raise': 25000000}",0.35,25000000.0,25000000.0,2019-12-06 00:00:00+00:00,0.73621465,0.13758011271875,0.39308603633928574,2020-01-05 00:00:00+00:00,0.62815586,0.122588542053125,0.7433390136339286,2020-02-04 00:00:00+00:00,0.973217,0.1597481637456348,1.1997623386214566,2020-03-05 00:00:00+00:00,0.89729013,0.14466666943314976,1.6130956798590275,2020-04-04 00:00:00+00:00,0.55087332,0.0884687249760917,1.865863465505004,2020-05-04 00:00:00+00:00,0.73180906,0.09662667433250252,2.1419396778835824
51,51,24,116,icon,ICON,ICX,Blockchain infrastructure,"{'startDate': '2017-09-20', 'endDate': '2017-09-20', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.11, 'hardCap': 42800000, 'raise': 42750000}, 'BTC': {'price': 2.79340192188701e-05}, 'ETH': {'price': 0.0004, 'hardCap': 150000}}}",,,2017-09-20,2017-09-20,ICO,0,"{'USD': {'price': 0.11, 'hardCap': 42800000, 'raise': 42750000}, 'BTC': {'price': 2.79340192188701e-05}, 'ETH': {'price': 0.0004, 'hardCap': 150000}}",,"{'price': 0.11, 'hardCap': 42800000, 'raise': 42750000}",0.11,42750000.0,42800000.0,2019-12-06 00:00:00+00:00,0.1299301,0.0242806874375,0.22073352215909092,2020-01-05 00:00:00+00:00,0.11365997,0.0221814535203125,0.4223830996164773,2020-02-04 00:00:00+00:00,0.36565433,0.06002012684030426,0.968020616346516,2020-03-05 00:00:00+00:00,0.32549915,0.052478987965488076,1.4451023251236803,2020-04-04 00:00:00+00:00,0.24237184,0.03892424424350285,1.7989590909737063,2020-05-04 00:00:00+00:00,0.27466872,0.036266734599822145,2.1286566782448166
97,97,33,225,status,Status,SNT,Social Network,"{'startDate': '2017-06-20', 'endDate': '2017-06-20', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.037, 'hardCap': 90000000, 'raise': 107664907}, 'BTC': {'price': 1.4513e-05}, 'ETH': {'price': 0.0001}}}",,,2017-06-20,2017-06-20,ICO,0,"{'USD': {'price': 0.037, 'hardCap': 90000000, 'raise': 107664907}, 'BTC': {'price': 1.4513e-05}, 'ETH': {'price': 0.0001}}",,"{'price': 0.037, 'hardCap': 90000000, 'raise': 107664907}",0.037,107664907.0,90000000.0,2019-12-06 00:00:00+00:00,0.01065268,0.001990719575,0.05380323175675676,2020-01-05 00:00:00+00:00,0.00894189,0.0017450657203124998,0.10096717014358109,2020-02-04 00:00:00+00:00,0.01376899,0.002260103213499156,0.16205104077869342,2020-03-05 00:00:00+00:00,0.01611251,0.0025977586066931553,0.23226073285148136,2020-04-04 00:00:00+00:00,0.01756361,0.0028206669778041422,0.30849497549483657,2020-05-04 00:00:00+00:00,0.02054728,0.0027130237127410564,0.3818199407040543
12,12,36,36,waves,Waves,WAVES,Blockchain infrastructure,"{'endDate': '2018-05-31', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.188}, 'BTC': {'price': 2.50462646850506e-05}, 'ETH': {'price': 0.000328266346954022}}}",,,,2018-05-31,ICO,0,"{'USD': {'price': 0.188}, 'BTC': {'price': 2.50462646850506e-05}, 'ETH': {'price': 0.000328266346954022}}",,{'price': 0.188},0.188,,,2019-12-06 00:00:00+00:00,0.56058627,0.10475955920625002,0.5572316979055852,2020-01-05 00:00:00+00:00,0.94517838,0.184457468221875,1.5383884437666226,2020-02-04 00:00:00+00:00,0.98405388,0.1615269773922643,2.3975744937254753,2020-03-05 00:00:00+00:00,1.19850789,0.19323086138889303,3.4253982245174592,2020-04-04 00:00:00+00:00,0.9625209,0.154578182849444,4.247622601376204,2020-05-04 00:00:00+00:00,1.0673311,0.14092836539172074,4.9972415662257825
61,61,42,137,0x,0x Protocol,ZRX,Exchange token,"{'startDate': '2017-08-12', 'endDate': '2017-08-16', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.048, 'hardCap': 24000000, 'raise': 24000000}, 'BTC': {'price': 1.15574273953821e-05}, 'ETH': {'price': 0.000164301388566327}}}",,,2017-08-12,2017-08-16,ICO,0,"{'USD': {'price': 0.048, 'hardCap': 24000000, 'raise': 24000000}, 'BTC': {'price': 1.15574273953821e-05}, 'ETH': {'price': 0.000164301388566327}}",,"{'price': 0.048, 'hardCap': 24000000, 'raise': 24000000}",0.048,24000000.0,24000000.0,2019-12-06 00:00:00+00:00,0.23118912,0.0432034668,0.900072225,2020-01-05 00:00:00+00:00,0.18719176,0.0365316419125,1.6611480981770834,2020-02-04 00:00:00+00:00,0.23627285,0.03878287569005454,2.4691246750532194,2020-03-05 00:00:00+00:00,0.26234354,0.04229664955648437,3.350304874146644,2020-04-04 00:00:00+00:00,0.1555427,0.02497972555348794,3.8707158231776426,2020-05-04 00:00:00+00:00,0.20741802,0.027387080270955506,4.441279995489216
40,40,53,90,basic-attention-token,Basic Attention Token,BAT,Advertising,"{'endDate': '2017-05-31', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.04}, 'BTC': {'price': 1.83679535357469e-05}, 'ETH': {'price': 0.00018025}}}",,,,2017-05-31,ICO,0,"{'USD': {'price': 0.04}, 'BTC': {'price': 1.83679535357469e-05}, 'ETH': {'price': 0.00018025}}",,{'price': 0.04},0.04,,,2019-12-06 00:00:00+00:00,0.18597221,0.034753556743750004,0.8688389185937501,2020-01-05 00:00:00+00:00,0.18812964,0.03671467505625,1.786705795,2020-02-04 00:00:00+00:00,0.23375048,0.03836884266783332,2.7459268616958328,2020-03-05 00:00:00+00:00,0.23150062,0.03732396306098811,3.6790259382205357,2020-04-04 00:00:00+00:00,0.15011478,0.024108016679164117,4.2817263551996385,2020-05-04 00:00:00+00:00,0.18150184,0.02396515722889517,4.880855285922018
26,26,61,57,zilliqa,Zilliqa,ZIL,Blockchain infrastructure,"{'startDate': '2017-12-27', 'endDate': '2018-01-04', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0038, 'hardCap': 22000000, 'raise': 22000000}, 'BTC': {'price': 2.57404651328021e-07}, 'ETH': {'price': 8.4656e-06}}}",,,2017-12-27,2018-01-04,ICO,0,"{'USD': {'price': 0.0038, 'hardCap': 22000000, 'raise': 22000000}, 'BTC': {'price': 2.57404651328021e-07}, 'ETH': {'price': 8.4656e-06}}",,"{'price': 0.0038, 'hardCap': 22000000, 'raise': 22000000}",0.0038,22000000.0,22000000.0,2019-12-06 00:00:00+00:00,0.00568031,0.00106150793125,0.27934419243421055,2020-01-05 00:00:00+00:00,0.00457847,0.0008935170359375001,0.5144802545230263,2020-02-04 00:00:00+00:00,0.00616615,0.00101213926583706,0.7808326929012,2020-03-05 00:00:00+00:00,0.00607929,0.000980140767644745,1.0387644738603434,2020-04-04 00:00:00+00:00,0.00395834,0.000635698408523148,1.206053528734856,2020-05-04 00:00:00+00:00,0.00610596,0.0008062193277673921,1.4182165097262753
