id,rank,slug,name,symbol,category,startDate,endDate,type,tokensForSale,hardCap,raised,ICO_price,ieoPlatformExchange.id,ieoPlatformExchange.name,ieoPlatformExchange.slug,tokenRole,totalTokensForSale,status.code,,,,,,,,,,,,,,,,,
5663,7,solana,Solana,SOL,Blockchain infrastructure,3/23/2020 0:00:00,3/24/2020 0:00:00,ICO,8000000,,,0.22,,,,Utility,,200,,,,,,,,,,,,,,,,,
5663,7,solana,Solana,SOL,Blockchain infrastructure,4/5/2018 0:00:00,4/5/2018 0:00:00,Private,79300000,,,0.04,,,,Utility,,200,,,,,,,,,,,,,,,,,
5663,7,solana,Solana,SOL,Blockchain infrastructure,7/9/2019 0:00:00,7/9/2019 0:00:00,Pre-sale,28500000,,,0.225,,,,Utility,,200,,,,,,,,,,,,,,,,,
5663,7,solana,Solana,SOL,Blockchain infrastructure,6/2/2018 0:00:00,6/3/2018 0:00:00,Private/Pre-sale,63150000,,,0.2,,,,Utility,,200,,,,,,,,,,,,,,,,,
5663,7,solana,Solana,SOL,Blockchain infrastructure,1/2/2020 0:00:00,1/2/2020 0:00:00,Private/Pre-sale,9200000,,,0.25,,,,Utility,,200,,,,,,,,,,,,,,,,,
7234,8,luna,Terra,LUNA,Blockchain infrastructure,1/30/2019 0:00:00,2/28/2019 0:00:00,ICO,0,72000000,,0.8,,,,Utility,,200,,,,,,,,,,,,,,,,,
7,9,cardano,Cardano,ADA,Blockchain infrastructure,,1/1/2018 0:00:00,ICO,0,,,0.02,,,,,,200,,,,,,,,,,,,,,,,,
21076,10,avalanche,Avalanche,AVAX,Blockchain infrastructure,5/1/2020 0:00:00,5/31/2020 0:00:00,Private,24900000,,,0.5,,,,Utility,,200,,,,,,,,,,,,,,,,,
21076,10,avalanche,Avalanche,AVAX,Blockchain infrastructure,2/1/2019 0:00:00,2/28/2019 0:00:00,Private,42900000,,,0.33,,,,Utility,,200,,,,,,,,,,,,,,,,,
21076,10,avalanche,Avalanche,AVAX,Blockchain infrastructure,7/15/2020 0:00:00,7/15/2020 0:00:00,ICO,6000000,,,0.5,,,,Utility,,200,,,,,,,,,,,,,,,,,
21076,10,avalanche,Avalanche,AVAX,Blockchain infrastructure,7/15/2020 0:00:00,7/15/2020 0:00:00,ICO,72000000,,,0.85,,,,Utility,,200,,,,,,,,,,,,,,,,,
21076,10,avalanche,Avalanche,AVAX,Blockchain infrastructure,7/15/2020 0:00:00,7/15/2020 0:00:00,ICO,60000000,,,0.5,,,,Utility,,200,,,,,,,,,,,,,,,,,
7159,18,matic-network,Polygon,MATIC,Blockchain infrastructure,4/24/2019 0:00:00,4/25/2019 0:00:00,IEO,1900000000,5000000,,0.00263,2,Binance,binance,Utility,3230000000,200,,,,,,,,,,,,,,,,,
7159,18,matic-network,Polygon,MATIC,Blockchain infrastructure,1/1/2018 0:00:00,12/30/2018 0:00:00,Private/Pre-sale,0,,,0.00263,,,,Utility,3230000000,200,,,,,,,,,,,,,,,,,
