,id,rank,slug,name,symbol,category,rounds,tokenRole,totalTokensForSale
0,7,8.0,cardano,Cardano,ADA,Blockchain infrastructure,"[{'endDate': '2018-01-01', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.02}}}]",,
1,5663,9.0,solana,Solana,SOL,Blockchain infrastructure,"[{'startDate': '2020-03-23', 'endDate': '2020-03-24', 'type': 'ICO', 'tokensForSale': 8000000, 'values': {'USD': {'price': 0.22, 'raise': 1760000}}}, {'startDate': '2018-04-05', 'endDate': '2018-04-05', 'type': 'Private', 'tokensForSale': 79300000, 'values': {'USD': {'price': 0.04, 'raise': 3170000}}}, {'startDate': '2019-07-09', 'endDate': '2019-07-09', 'type': 'Pre-sale', 'tokensForSale': 28500000, 'values': {'USD': {'price': 0.225, 'raise': 5700000}}}, {'startDate': '2018-06-02', 'endDate': '2018-06-03', 'type': 'Private/Pre-sale', 'tokensForSale': 63150000, 'values': {'USD': {'price': 0.2, 'raise': 12630000}}}, {'startDate': '2020-01-02', 'endDate': '2020-01-02', 'type': 'Private/Pre-sale', 'tokensForSale': 9200000, 'values': {'USD': {'price': 0.25, 'raise': 2290000}}}]",Utility,
2,21076,12.0,avalanche,Avalanche,AVAX,Blockchain infrastructure,"[{'startDate': '2020-05-01', 'endDate': '2020-05-31', 'type': 'Private', 'tokensForSale': 24900000, 'values': {'USD': {'price': 0.5, 'raise': 12450000}}}, {'startDate': '2019-02-01', 'endDate': '2019-02-28', 'type': 'Private', 'tokensForSale': 42900000, 'values': {'USD': {'price': 0.33, 'raise': 5940000}}}, {'startDate': '2020-07-15', 'endDate': '2020-07-15', 'type': 'ICO', 'tokensForSale': 6000000, 'values': {'USD': {'price': 0.5}}}, {'startDate': '2020-07-15', 'endDate': '2020-07-15', 'type': 'ICO', 'tokensForSale': 72000000, 'values': {'USD': {'price': 0.85}}}, {'startDate': '2020-07-15', 'endDate': '2020-07-15', 'type': 'ICO', 'tokensForSale': 60000000, 'values': {'USD': {'price': 0.5}}}]",Utility,
3,13,15.0,tron,TRON,TRX,Blockchain infrastructure,"[{'startDate': '2017-08-31', 'endDate': '2017-09-02', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0019, 'hardCap': 70000000, 'raise': 70000000}, 'BTC': {'price': 3.8e-07}, 'ETH': {'price': 4.8127e-06}}}]",,
4,7478,20.0,leobitfinex,UNUS SED LEO,LEO,Exchange token,"[{'startDate': '2019-05-11', 'endDate': '2019-05-11', 'type': 'Private/Pre-sale', 'tokensForSale': 0, 'values': {'USD': {'price': 1, 'hardCap': 1000000000, 'raise': 1000000000}}}]",Utility,
5,7159,21.0,matic-network,Polygon,MATIC,Blockchain infrastructure,"[{'startDate': '2019-04-24', 'endDate': '2019-04-25', 'type': 'IEO', 'tokensForSale': 1900000000, 'values': {'USD': {'price': 0.00263, 'hardCap': 5000000, 'raise': 5000000}, 'BTC': {'price': 5e-07}, 'BNB': {'price': 0.000119}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}, {'startDate': '2018-01-01', 'endDate': '2018-12-30', 'type': 'Private/Pre-sale', 'tokensForSale': 0, 'values': {'USD': {'price': 0.00263}}}]",Utility,3230000000.0
6,21422,22.0,near-protocol,Near Protocol,NEAR,Blockchain infrastructure,"[{'startDate': '2020-08-11', 'endDate': '2020-08-13', 'type': 'ICO', 'tokensForSale': 25000000, 'values': {'USD': {'price': 0.4, 'hardCap': 10000000, 'raise': 10000000}}}, {'startDate': '2020-08-11', 'endDate': '2020-08-13', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.34}}}, {'startDate': '2020-08-12', 'endDate': '2020-08-13', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.29}}}]",Utility,
7,85,25.0,chainlink,ChainLink,LINK,DeFi,"[{'startDate': '2017-09-19', 'endDate': '2017-09-19', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.11, 'hardCap': 32000000, 'raise': 32000000}, 'BTC': {'price': 2.7857e-05}, 'ETH': {'price': 0.00038462}}}]",,
8,5551,28.0,algorand,Algorand,ALGO,Blockchain infrastructure,"[{'startDate': '2019-06-19', 'endDate': '2019-06-19', 'type': 'ICO', 'tokensForSale': 25000000, 'values': {'USD': {'price': 2.4, 'raise': 60402219}}}]",Utility,
9,6834,29.0,cosmos,Cosmos,ATOM,Blockchain infrastructure,"[{'startDate': '2017-04-06', 'endDate': '2017-04-06', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.1}}}, {'endDate': '2017-03-06', 'type': 'Private/Pre-sale', 'tokensForSale': 0, 'values': {'USD': {'price': 0.075}}}]",Utility,
10,25301,30.0,flow,Flow,FLOW,Blockchain infrastructure,"[{'startDate': '2020-09-22', 'endDate': '2020-10-02', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.1, 'raise': 19500000}}}, {'startDate': '2020-10-06', 'endDate': '2020-10-06', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.38}}}]",Utility,25000000.0
11,162765,33.0,bit-dao,BitDAO,BIT,DeFi,"[{'startDate': '2021-08-30', 'endDate': '2021-08-30', 'type': 'IDO', 'tokensForSale': 200000000, 'values': {'USD': {'hardCap': 400000000, 'price': 1.416, 'raise': 379261197}, 'SUSHI': {'price': 0.12, 'raise': 2511100}, 'ETH': {'price': 0.000379, 'raise': 112000}}}, {'startDate': '2021-06-01', 'endDate': '2021-06-11', 'type': 'Private/Pre-sale', 'tokensForSale': 0, 'values': {'USD': {'raise': 230000000}}}]",Utility,
12,23068,36.0,elrond-gold,Elrond,EGLD,Blockchain infrastructure,"[{'startDate': '2019-07-10', 'endDate': '2019-07-10', 'type': 'IEO', 'tokensForSale': 5000000000, 'values': {'USD': {'price': 0.65, 'raise': 3250000}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}, {'startDate': '2018-01-01', 'endDate': '2018-12-01', 'type': 'Private', 'tokensForSale': 3800000000, 'values': {'USD': {'price': 0.5, 'raise': 1900000}}}]",Utility,8800000000.0
13,8491,37.0,hedera-hashgraph,Hedera,HBAR,Blockchain infrastructure,"[{'startDate': '2018-08-14', 'endDate': '2018-08-16', 'type': 'ICO', 'tokensForSale': 833333333, 'values': {'USD': {'price': 0.12, 'raise': 100000000}}}]",Utility,14400000.0
14,26691,41.0,axie-infinity,Axie Infinity,AXS,Gaming,"[{'startDate': '2020-10-27', 'endDate': '2020-11-04', 'type': 'IEO', 'tokensForSale': 29700000, 'values': {'USD': {'price': 0.1, 'hardCap': 2970000, 'raise': 2970000}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}, {'type': 'Private', 'tokensForSale': 10800000, 'values': {'USD': {'price': 0.08}}}]",Utility,
15,26233,43.0,filecoin,Filecoin,FIL,Cloud Storage,"[{'startDate': '2017-08-10', 'endDate': '2017-09-08', 'type': 'ICO', 'tokensForSale': 0, 'values': {'BTC': {'price': 0.002002222}, 'USD': {'price': 5, 'hardCap': 40000000, 'raise': 257000000}}}]",Utility,
16,121,44.0,decentraland,Decentraland,MANA,VR,"[{'startDate': '2017-08-17', 'endDate': '2017-08-19', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.024, 'hardCap': 20000000, 'raise': 24137000}, 'BTC': {'price': 5.806e-06}, 'ETH': {'price': 7.992e-05}}}]",,
17,1258,45.0,tezos,Tezos,XTZ,Blockchain infrastructure,"[{'startDate': '2017-07-01', 'endDate': '2017-07-14', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.47, 'raise': 230533089}, 'BTC': {'price': 0.0002}, 'ETH': {'price': 0.0023943156225908}}}]",,
